RepRapFirmware height map file v2 generated at 2025-02-22 14:40, min error -0.182, max error 0.006, mean -0.097, deviation 0.050
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,30.00,260.00,30.00,270.00,-1.00,20.00,20.00,12,13
 -0.004, -0.022, -0.014, -0.015, -0.030, -0.019, -0.015, -0.017, -0.000,  0.001, -0.000,  0.006
 -0.021, -0.025, -0.031, -0.021, -0.043, -0.035, -0.021, -0.037, -0.017, -0.026, -0.016, -0.011
 -0.056, -0.060, -0.055, -0.057, -0.058, -0.051, -0.037, -0.053, -0.032, -0.026, -0.019, -0.017
 -0.070, -0.092, -0.078, -0.072, -0.094, -0.070, -0.062, -0.068, -0.057, -0.056, -0.051, -0.025
 -0.088, -0.101, -0.098, -0.097, -0.106, -0.083, -0.087, -0.091, -0.065, -0.068, -0.063, -0.040
 -0.102, -0.124, -0.106, -0.107, -0.118, -0.106, -0.096, -0.102, -0.082, -0.079, -0.078, -0.051
 -0.110, -0.134, -0.132, -0.127, -0.137, -0.133, -0.127, -0.134, -0.107, -0.106, -0.102, -0.078
 -0.127, -0.134, -0.137, -0.132, -0.145, -0.140, -0.143, -0.148, -0.138, -0.130, -0.122, -0.098
 -0.127, -0.149, -0.153, -0.150, -0.170, -0.163, -0.163, -0.179, -0.180, -0.164, -0.144, -0.110
 -0.127, -0.144, -0.149, -0.145, -0.166, -0.159, -0.160, -0.180, -0.163, -0.144, -0.140, -0.103
 -0.128, -0.146, -0.166, -0.165, -0.171, -0.168, -0.169, -0.182, -0.163, -0.148, -0.143, -0.114
 -0.108, -0.146, -0.139, -0.144, -0.165, -0.151, -0.145, -0.159, -0.142, -0.139, -0.124, -0.102
 -0.062, -0.099, -0.099, -0.103, -0.107, -0.106, -0.106, -0.108, -0.101, -0.097, -0.077, -0.061
